True,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,All
air_conditioner,619,13,28,33,38,115,0,87,4,63,1000
car_horn,9,342,13,10,25,6,1,10,4,9,429
children_playing,17,6,746,49,16,19,2,7,21,117,1000
dog_bark,17,18,71,800,13,10,6,7,25,33,1000
drilling,19,26,9,18,715,37,4,125,15,32,1000
engine_idling,156,7,26,16,23,587,2,114,37,32,1000
gun_shot,1,2,1,17,5,0,345,3,0,0,374
jackhammer,55,3,4,1,120,42,0,754,1,20,1000
siren,17,2,53,22,13,28,0,14,763,17,929
street_music,36,12,116,23,17,23,1,32,31,709,1000
All,946,431,1067,989,985,867,361,1153,901,1032,8732
